district,community,date,count
宝山区,长江路399号,3月:30,1
宝山区,长江路408弄,4月:12,1
宝山区,长江路410弄,4月:10,1
宝山区,长江路415弄,"4月:6,10",2
宝山区,长江路43号,"4月:5,9",2
宝山区,长江路440弄,"4月:5,6,8",3
宝山区,长江路441弄,4月:8,1
宝山区,长江路442弄,4月:8,1
宝山区,长江路443弄,4月:8,1
宝山区,长江路444弄,4月:8,1
宝山区,长江路500号,4月:9,1
宝山区,长江路56号,4月:10,1
宝山区,长江路68弄,"4月:4,7,8,10",4
宝山区,长江路735号,4月:8,1
宝山区,长江路780弄,4月:10,1
宝山区,长江路848弄,"3月:29,30; 4月:6,8",4
宝山区,长江路860弄,"4月:8,9",2
宝山区,长江路868号,"3月:18,21,28",3
宝山区,长江南路180号,"4月:6,8",2
宝山区,长江南路188号,4月:8,1
宝山区,长江南路245弄,4月:11,1
宝山区,长江南路557号,4月:2,1
宝山区,长江南路579号,3月:29; 4月:9,2
宝山区,长江南路651号,4月:8,1
宝山区,长江南路76号,4月:9,1
宝山区,长江南路886号,"4月:8,10",2
宝山区,长江南路926号,3月:29,1
宝山区,长江南路958号,4月:9,1
宝山区,长江西路1000号,"3月:29; 4月:3,9,11",4
宝山区,长江西路101号,4月:8,1
宝山区,长江西路1139号,4月:8,1
宝山区,长江西路1158号,4月:9,1
宝山区,长江西路115弄,4月:11,1
宝山区,长江西路1160弄,"3月:21; 4月:5,6,8,9",5
宝山区,长江西路116弄,4月:11,1
宝山区,长江西路1180号,"4月:4,8,11,13",4
宝山区,长江西路1240号,4月:3,1
宝山区,长江西路1241号,4月:8,1
宝山区,长江西路1250号,4月:8,1
宝山区,长江西路1261号,4月:8,1
宝山区,长江西路1270号,4月:8,1
宝山区,长江西路1301号,4月:12,1
宝山区,长江西路1340号,4月:8,1
宝山区,长江西路1341号,4月:10,1
宝山区,长江西路1360号,4月:8,1
宝山区,长江西路1361号,4月:9,1
宝山区,长江西路1380号,"4月:5,6",2
宝山区,长江西路1430号,3月:29,1
宝山区,长江西路1470号,3月:28,1
宝山区,长江西路1568号,"4月:5,8",2
宝山区,长江西路1869号,"4月:9,10",2
